Date,Exchange Rate,Currency Pair
"March 18, 2026",4013,USD/KHR
"March 19, 2026",4013,USD/KHR
"March 20, 2026",4011,USD/KHR
"March 23, 2026",4010,USD/KHR
"March 24, 2026",4007,USD/KHR
"March 25, 2026",4006,USD/KHR
"March 26, 2026",4004,USD/KHR
"March 27, 2026",4001,USD/KHR
"March 30, 2026",4001,USD/KHR
"March 31, 2026",4001,USD/KHR
"April 1, 2026",4001,USD/KHR
"April 2, 2026",3999,USD/KHR
"April 3, 2026",4000,USD/KHR
